 --------------------------------------------------------------------------------                                        
 --------------------------------------------------------------------------------                                        
 --------------------------------------------------------------------------------                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       1.12E+01  7.087E+02
   1  -3.  1.96E+01  2.343E+02  1.500  0.000  0.250  0.000  0.000 -1.000   0.000
   2  -4.  7.51E+01  3.283E+01  2.250  0.000  0.125  0.000  0.000 -1.000   0.000
   3  -1.  8.49E+01  2.280E+01  2.071  0.000  0.188  0.000  0.000 -1.000   0.000
   4  -1.  8.57E+01  2.232E+01  1.999  0.000  0.281  0.000  0.000 -1.000   0.000
   5  -1.  8.60E+01  2.195E+01  1.978  0.000  0.422  0.000  0.000 -1.000   0.000
   6  -1.  8.51E+01  2.154E+01  1.959  0.000  0.627  0.000  0.000 -1.000   0.000
   7  -1.  8.60E+01  2.123E+01  1.933  0.000  0.681  0.000  0.000 -1.000   0.000
   8  -1.  8.67E+01  2.091E+01  1.912  0.000  0.742  0.000  0.000 -1.000   0.000
   9  -1.  8.75E+01  2.059E+01  1.888  0.000  0.801  0.000  0.000 -1.000   0.000
  10  -1.  8.83E+01  2.026E+01  1.862  0.000  0.856  0.000  0.000 -1.000   0.000
  11  -2.  9.32E+01  1.874E+01  1.709  0.000  1.179  0.000  0.000 -1.000   0.000
  12  -2.  9.55E+01  1.837E+01  1.594  0.000  1.230  0.000  0.000 -1.000   0.000
  13  -3.  9.61E+01  1.832E+01  1.541  0.000  1.278  0.000  0.000 -1.000   0.000
  14  -4.  9.63E+01  1.832E+01  1.535  0.000  1.275  0.000  0.000 -1.000   0.000
  15  -1.  9.63E+01  1.832E+01  1.534  0.000  1.277  0.000  0.000 -1.000   0.000
 --------------------------------------------------------------------------------                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       4.27E+00  3.272E+03
   1  -3.  6.31E+00  1.596E+03  1.000  0.000  0.750  0.000  0.000 -1.000   0.000
   2  -2.  2.46E+01  2.356E+02  1.000  0.000  1.125  0.000  0.000 -1.000   0.000
   3  -3.  4.93E+01  5.847E+01  1.000  0.000  1.688  0.000  0.000 -1.000   0.000
   4  -4.  8.74E+01  2.372E+01  1.000  0.000  1.837  0.000  0.000 -1.000   0.000
   5  -5.  9.38E+01  2.128E+01  1.000  0.000  1.583  0.000  0.000 -1.000   0.000
   6  -5.  9.40E+01  2.118E+01  1.000  0.000  1.591  0.000  0.000 -1.000   0.000
   7  -6.  9.40E+01  2.117E+01  1.000  0.000  1.579  0.000  0.000 -1.000   0.000
   8  -6.  9.40E+01  2.117E+01  1.000  0.000  1.578  0.000  0.000 -1.000   0.000
   9  -6.  9.40E+01  2.117E+01  1.000  0.000  1.578  0.000  0.000 -1.000   0.000
  10  -7.  9.40E+01  2.117E+01  1.000  0.000  1.577  0.000  0.000 -1.000   0.000
 --------------------------------------------------------------------------------                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       4.27E+00  3.272E+03
   1  -3.  6.31E+00  1.596E+03  1.000  0.000  0.750  0.000  0.000 -1.000   0.000
   2  -2.  2.46E+01  2.356E+02  1.000  0.000  1.125  0.000  0.000 -1.000   0.000
   3  -3.  4.93E+01  5.847E+01  1.000  0.000  1.688  0.000  0.000 -1.000   0.000
   4  -4.  8.74E+01  2.372E+01  1.000  0.000  1.837  0.000  0.000 -1.000   0.000
   5  -5.  9.38E+01  2.128E+01  1.000  0.000  1.583  0.000  0.000 -1.000   0.000
   6  -5.  9.40E+01  2.118E+01  1.000  0.000  1.591  0.000  0.000 -1.000   0.000
   7  -6.  9.40E+01  2.117E+01  1.000  0.000  1.579  0.000  0.000 -1.000   0.000
   8  -6.  9.40E+01  2.117E+01  1.000  0.000  1.578  0.000  0.000 -1.000   0.000
