 -------------------------------------------------------------------------------
 -                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       8.54E+00  2.808E+03
   1  -3.  1.62E+01  1.496E+03  1.125  0.000  0.600  0.000  0.000 -1.000   0.000
   2  -4.  1.68E+01  1.389E+03  1.688  0.000  0.600  0.000  0.000 -1.000   0.000
   3  -5.  1.88E+01  1.313E+03  2.531  0.000  0.600  0.000  0.000 -1.000   0.000
   4  -5.  2.34E+01  1.234E+03  3.797  0.000  0.600  0.000  0.000 -1.000   0.000
   5  -6.  2.58E+01  1.217E+03  4.674  0.000  0.600  0.000  0.000 -1.000   0.000
   6  -6.  2.59E+01  1.213E+03  4.033  0.000  0.600  0.000  0.000 -1.000   0.000
   7  -6.  2.61E+01  1.190E+03  3.946  0.000  0.600  0.000  0.000 -1.000   0.000
   8  -7.  2.67E+01  1.147E+03  4.455  0.000  0.600  0.000  0.000 -1.000   0.000
   9  -7.  2.76E+01  1.064E+03  3.947  0.000  0.600  0.000  0.000 -1.000   0.000
  10  -7.  2.79E+01  9.900E+02  4.216  0.000  0.600  0.000  0.000 -1.000   0.000
  11  -7.  2.92E+01  9.457E+02  4.293  0.000  0.600  0.000  0.000 -1.000   0.000
  12  -8.  3.14E+01  7.967E+02  3.785  0.000  0.600  0.000  0.000 -1.000   0.000
  13  -8.  3.16E+01  7.585E+02  3.868  0.000  0.600  0.000  0.000 -1.000   0.000
  14  -8.  3.31E+01  7.100E+02  3.595  0.000  0.600  0.000  0.000 -1.000   0.000
  15  -9.  3.32E+01  5.954E+02  3.365  0.000  0.600  0.000  0.000 -1.000   0.000
  16  -9.  3.53E+01  2.611E+02  1.750  0.000  0.600  0.000  0.000 -1.000   0.000
  17  -9.  3.76E+01  1.005E+02  1.420  0.000  0.600  0.000  0.000 -1.000   0.000
  18 -10.  3.75E+01  8.842E+01  1.201  0.000  0.600  0.000  0.000 -1.000   0.000
  19 -10.  3.73E+01  8.823E+01  1.172  0.000  0.600  0.000  0.000 -1.000   0.000
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       3.73E+01  9.049E+01
  20 -10.  3.73E+01  8.823E+01  1.167  0.000  0.600  0.000  0.000 -1.000   0.000
   1   0.  7.41E+01  5.068E+01  1.129  0.000  0.600  0.000  0.000 -1.000   0.000
   2  -1.  1.24E+02  2.600E+01  0.565  0.000  0.600  0.000  0.000 -1.000   0.000
   3  -1.  1.24E+02  2.388E+01  0.282  0.000  0.600  0.000  0.000 -1.000   0.000
   4   0.  1.28E+02  2.120E+01  0.141  0.000  0.600  0.000  0.000 -1.000   0.000
   5   2.  1.28E+02  2.120E+01  0.138  0.000  0.600  0.000  0.000 -1.000   0.000
   6   2.  1.28E+02  2.119E+01  0.135  0.000  0.600  0.000  0.000 -1.000   0.000
   7   2.  1.28E+02  2.119E+01  0.132  0.000  0.600  0.000  0.000 -1.000   0.000
   8   2.  1.28E+02  2.119E+01  0.129  0.000  0.600  0.000  0.000 -1.000   0.000
