 --------------------------------------------------------------------------------                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       8.54E+00  2.808E+03
   1  -3.  1.62E+01  1.496E+03  1.125  0.000  0.600  0.000  0.000 -1.000   0.000
   2  -4.  1.68E+01  1.389E+03  1.688  0.000  0.600  0.000  0.000 -1.000   0.000
   3  -5.  1.88E+01  1.313E+03  2.531  0.000  0.600  0.000  0.000 -1.000   0.000
   4  -5.  2.34E+01  1.234E+03  3.797  0.000  0.600  0.000  0.000 -1.000   0.000
   5  -6.  2.58E+01  1.217E+03  4.677  0.000  0.600  0.000  0.000 -1.000   0.000
   6  -6.  2.59E+01  1.213E+03  4.033  0.000  0.600  0.000  0.000 -1.000   0.000
   7  -6.  2.61E+01  1.190E+03  3.946  0.000  0.600  0.000  0.000 -1.000   0.000
   8  -7.  2.67E+01  1.147E+03  4.462  0.000  0.600  0.000  0.000 -1.000   0.000
   9  -7.  2.76E+01  1.063E+03  3.943  0.000  0.600  0.000  0.000 -1.000   0.000
  10  -7.  2.79E+01  9.903E+02  4.219  0.000  0.600  0.000  0.000 -1.000   0.000
  11  -7.  2.92E+01  9.455E+02  4.288  0.000  0.600  0.000  0.000 -1.000   0.000
  12  -8.  3.14E+01  7.969E+02  3.791  0.000  0.600  0.000  0.000 -1.000   0.000
  13  -8.  3.16E+01  7.583E+02  3.866  0.000  0.600  0.000  0.000 -1.000   0.000
  14  -8.  3.31E+01  7.100E+02  3.594  0.000  0.600  0.000  0.000 -1.000   0.000
  15  -9.  3.32E+01  5.947E+02  3.360  0.000  0.600  0.000  0.000 -1.000   0.000
  16  -9.  3.53E+01  2.616E+02  1.740  0.000  0.600  0.000  0.000 -1.000   0.000
  17  -9.  3.75E+01  1.006E+02  1.415  0.000  0.600  0.000  0.000 -1.000   0.000
  18 -10.  3.75E+01  8.849E+01  1.195  0.000  0.600  0.000  0.000 -1.000   0.000
  19 -10.  3.73E+01  8.830E+01  1.167  0.000  0.600  0.000  0.000 -1.000   0.000
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       3.73E+01  8.931E+01
  20 -10.  3.73E+01  8.830E+01  1.162  0.000  0.600  0.000  0.000 -1.000   0.000
   1  -1.  4.02E+01  7.882E+01  1.182  0.000  0.600  0.000  0.000 -1.000   0.000
   2  -2.  6.31E+01  5.382E+01  1.217  0.000  0.600  0.000  0.000 -1.000   0.000
   3  -3.  8.37E+01  3.574E+01  1.293  0.000  0.600  0.000  0.000 -1.000   0.000
   4  -4.  8.50E+01  3.469E+01  1.305  0.000  0.600  0.000  0.000 -1.000   0.000
   5  -5.  8.60E+01  3.452E+01  1.300  0.000  0.600  0.000  0.000 -1.000   0.000
   6  -5.  8.67E+01  3.451E+01  1.299  0.000  0.600  0.000  0.000 -1.000   0.000
   7   0.  8.65E+01  3.450E+01  1.300  0.000  0.600  0.000  0.000 -1.000   0.000
   8   4.  8.65E+01  3.450E+01  1.300  0.000  0.600  0.000  0.000 -1.000   0.000
   9   4.  8.65E+01  3.450E+01  1.300  0.000  0.600  0.000  0.000 -1.000   0.000
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       8.65E+01  3.507E+01
   1  -1.  8.67E+01  3.255E+01  1.304  0.000  0.600  0.000  0.000 -1.000   0.000
   2  -2.  1.09E+02  2.937E+01  1.293  0.000  0.600  0.000  0.000 -1.000   0.000
   3  -3.  1.20E+02  1.526E+01  1.131  0.000  0.600  0.000  0.000 -1.000   0.000
   4  -4.  1.31E+02  1.224E+01  0.960  0.000  0.600  0.000  0.000 -1.000   0.000
   5  -5.  1.82E+02  9.585E+00  0.876  0.000  0.600  0.000  0.000 -1.000   0.000
   6  -5.  2.11E+02  6.406E+00  0.799  0.000  0.600  0.000  0.000 -1.000   0.000
   7  -6.  2.10E+02  6.131E+00  0.750  0.000  0.600  0.000  0.000 -1.000   0.000
   8  -6.  2.06E+02  5.650E+00  0.732  0.000  0.600  0.000  0.000 -1.000   0.000
   9  -6.  2.07E+02  5.321E+00  0.758  0.000  0.600  0.000  0.000 -1.000   0.000
  10  -7.  2.06E+02  5.164E+00  0.726  0.000  0.600  0.000  0.000 -1.000   0.000
  11  -7.  2.06E+02  5.141E+00  0.724  0.000  0.600  0.000  0.000 -1.000   0.000
  12  -7.  2.06E+02  5.141E+00  0.723  0.000  0.600  0.000  0.000 -1.000   0.000
  13  -7.  2.06E+02  5.141E+00  0.723  0.000  0.600  0.000  0.000 -1.000   0.000
  14  -8.  2.06E+02  5.141E+00  0.723  0.000  0.600  0.000  0.000 -1.000   0.000
  15  -1.  2.06E+02  5.141E+00  0.723  0.000  0.600  0.000  0.000 -1.000   0.000
