 --------------------------------------------------------------------------------                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       5.26E+00  1.048E+04
   1  -3.  5.33E+01  8.945E+02  2.401  0.000  0.300  0.000  0.000 -1.000  39.130
   2  -2.  5.53E+01  7.187E+02  3.602  0.000  0.450  0.000  0.000 -1.000  24.324
   3  -3.  6.04E+01  6.357E+02  5.403  0.000  0.225  0.000  0.000 -1.000  29.088
   4  -4.  6.27E+01  6.018E+02  6.467  0.000  0.338  0.000  0.000 -1.000  33.329
   5  -3.  6.35E+01  5.999E+02  5.939  0.000  0.506  0.000  0.000 -1.000  35.788
   6   0.  6.35E+01  5.996E+02  5.925  0.000  0.759  0.000  0.000 -1.000  35.729
   7   0.  6.35E+01  5.993E+02  5.931  0.000  1.139  0.000  0.000 -1.000  35.683
   8   0.  6.34E+01  5.991E+02  5.949  0.000  1.647  0.000  0.000 -1.000  35.651
   9   0.  6.33E+01  5.990E+02  5.996  0.000  1.785  0.000  0.000 -1.000  35.655
  10   0.  6.33E+01  5.989E+02  6.037  0.000  1.886  0.000  0.000 -1.000  35.665
  11   0.  6.33E+01  5.989E+02  6.071  0.000  1.967  0.000  0.000 -1.000  35.676
  12   0.  6.33E+01  5.988E+02  6.100  0.000  2.037  0.000  0.000 -1.000  35.689
  13  -1.  6.33E+01  5.988E+02  6.200  0.000  2.342  0.000  0.000 -1.000  35.840
  14  -1.  6.33E+01  5.987E+02  6.210  0.000  2.504  0.000  0.000 -1.000  36.018
  15  -2.  6.36E+01  5.986E+02  6.069  0.000  2.992  0.000  0.000 -1.000  37.061
  16  -3.  6.40E+01  5.982E+02  5.937  0.000  3.627  0.000  0.000 -1.000  38.330
  17  -2.  6.40E+01  5.980E+02  6.052  0.000  3.781  0.000  0.000 -1.000  38.290
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       6.41E+01  5.695E+03
  18  -2.  6.41E+01  5.979E+02  5.962  0.000  4.014  0.000  0.000 -1.000  38.460
   1  -1.  6.33E+01  5.685E+03  6.436  0.000  4.120  0.000  0.000 -1.000  37.030
   2  -2.  6.19E+01  5.677E+03  7.110  0.000  3.376  0.000  0.000 -1.000  33.479
   3  -1.  6.15E+01  5.672E+03  7.078  0.000  3.394  0.000  0.000 -1.000  33.052
   4  -2.  6.12E+01  5.666E+03  6.984  0.000  3.214  0.000  0.000 -1.000  33.186
   5  -1.  6.13E+01  5.666E+03  6.947  0.000  3.114  0.000  0.000 -1.000  33.184
   6  -2.  6.12E+01  5.665E+03  6.895  0.000  2.946  0.000  0.000 -1.000  33.070
