 -------------------------------------------------------------------------------
 -                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       1.19E+01  7.911E+04
   1  -3.  1.40E+01  5.197E+04  1.137  0.000  0.439  0.000  0.000 -1.000  14.286
   2  -4.  1.57E+01  3.941E+04  1.253  0.000  0.224  0.000  0.000 -1.000  20.000
   3  -5.  1.81E+01  2.917E+04  1.353  0.000  0.112  0.000  0.000 -1.000  27.273
   4  -5.  2.17E+01  2.004E+04  1.446  0.000  0.056  0.000  0.000 -1.000  36.000
   5  -6.  2.65E+01  1.273E+04  1.415  0.000  0.028  0.000  0.000 -1.000  45.763
   6  -6.  3.43E+01  7.146E+03  1.351  0.000  0.042  0.000  0.000 -1.000  55.862
   7  -6.  5.02E+01  3.297E+03  1.388  0.000  0.021  0.000  0.000 -1.000  65.499
   8  -7.  7.99E+01  1.193E+03  1.337  0.000  0.011  0.000  0.000 -1.000  74.010
   9  -7.  1.45E+02  2.602E+02  1.304  0.000  0.016  0.000  0.000 -1.000  81.030
  10  -7.  1.96E+02  3.122E+01  1.292  0.000  0.008  0.000  0.000 -1.000  85.515
  11  -7.  1.91E+02  1.778E+01  1.294  0.000  0.012  0.000  0.000 -1.000  86.787
  12  -8.  1.90E+02  1.768E+01  1.296  0.000  0.006  0.000  0.000 -1.000  86.903
  13  -8.  1.90E+02  1.768E+01  1.296  0.000  0.003  0.000  0.000 -1.000  86.904
  14  -8.  1.90E+02  1.768E+01  1.296  0.000  0.003  0.000  0.000 -1.000  86.904
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       1.90E+02  1.620E+02
  15  -9.  1.90E+02  1.768E+01  1.296  0.000  0.002  0.000  0.000 -1.000  86.904
   1  -1.  1.89E+02  1.417E+02  1.409  0.000  0.002  0.000  0.000 -1.000  86.711
   2  -2.  1.90E+02  9.960E+01  1.671  0.000  0.004  0.000  0.000 -1.000  85.872
   3  -3.  1.51E+02  9.168E+01  2.082  0.000  0.005  0.000  0.000 -1.000  84.221
   4  -4.  1.91E+02  6.611E+01  2.254  0.000  0.008  0.000  0.000 -1.000  79.401
   5  -3.  1.85E+02  5.753E+01  2.105  0.000  0.012  0.000  0.000 -1.000  82.192
   6  -4.  1.96E+02  5.741E+01  2.162  0.000  0.018  0.000  0.000 -1.000  79.954
   7  -1.  2.03E+02  5.627E+01  2.174  0.000  0.009  0.000  0.000 -1.000  79.896
   8  -2.  2.04E+02  5.607E+01  2.167  0.000  0.005  0.000  0.000 -1.000  79.801
   9  -3.  2.11E+02  5.593E+01  2.167  0.000  0.007  0.000  0.000 -1.000  79.456
  10  -4.  2.09E+02  5.584E+01  2.174  0.000  0.003  0.000  0.000 -1.000  79.384
  11  -5.  2.09E+02  5.582E+01  2.147  0.000  0.005  0.000  0.000 -1.000  79.961
  12  -1.  2.08E+02  5.579E+01  2.149  0.000  0.008  0.000  0.000 -1.000  79.922
  13  -2.  2.07E+02  5.576E+01  2.166  0.000  0.004  0.000  0.000 -1.000  79.660
  14  -3.  2.10E+02  5.575E+01  2.177  0.000  0.006  0.000  0.000 -1.000  79.261
  15  -2.  2.11E+02  5.575E+01  2.180  0.000  0.009  0.000  0.000 -1.000  79.148
 -------------------------------------------------------------------------------
 -                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       1.89E+01  2.921E+04
   1  -3.  2.52E+01  1.576E+04  2.116  0.000  0.300  0.000  0.000 -1.000  39.130
   2  -4.  3.35E+01  9.333E+03  2.135  0.000  0.150  0.000  0.000 -1.000  49.091
   3  -5.  4.79E+01  4.950E+03  2.193  0.000  0.075  0.000  0.000 -1.000  59.124
   4  -5.  4.30E+01  7.554E+02  1.140  0.000  0.112  0.000  0.000 -1.000  68.451
   5  -6.  9.43E+01  2.667E+02  1.668  0.000  0.056  0.000  0.000 -1.000  76.495
   6  -6.  2.22E+02  6.670E+01  1.857  0.000  0.028  0.000  0.000 -1.000  82.518
   7  -4.  2.12E+02  1.957E+01  1.317  0.000  0.014  0.000  0.000 -1.000  86.094
   8  -5.  1.88E+02  1.775E+01  1.353  0.000  0.021  0.000  0.000 -1.000  86.961
   9  -5.  1.92E+02  1.769E+01  1.280  0.000  0.032  0.000  0.000 -1.000  86.859
  10  -5.  1.89E+02  1.768E+01  1.312  0.000  0.016  0.000  0.000 -1.000  86.905
  11  -5.  1.91E+02  1.768E+01  1.291  0.000  0.008  0.000  0.000 -1.000  86.886
  12  -6.  1.90E+02  1.768E+01  1.299  0.000  0.004  0.000  0.000 -1.000  86.909
  13  -2.  1.90E+02  1.768E+01  1.296  0.000  0.003  0.000  0.000 -1.000  86.907
  14  -3.  1.90E+02  1.768E+01  1.296  0.000  0.002  0.000  0.000 -1.000  86.904
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       1.90E+02  1.620E+02
  15   1.  1.90E+02  1.768E+01  1.296  0.000  0.002  0.000  0.000 -1.000  86.904
   1  -1.  1.89E+02  1.417E+02  1.409  0.000  0.001  0.000  0.000 -1.000  86.712
   2  -2.  1.90E+02  9.960E+01  1.671  0.000  0.001  0.000  0.000 -1.000  85.872
   3  -3.  1.51E+02  9.166E+01  2.082  0.000  0.001  0.000  0.000 -1.000  84.220
   4  -4.  1.91E+02  6.609E+01  2.254  0.000  0.001  0.000  0.000 -1.000  79.401
   5  -3.  1.85E+02  5.744E+01  2.106  0.000  0.000  0.000  0.000 -1.000  82.185
   6  -4.  1.97E+02  5.683E+01  2.169  0.000  0.001  0.000  0.000 -1.000  79.889
   7  -3.  2.12E+02  5.649E+01  2.145  0.000  0.001  0.000  0.000 -1.000  79.862
   8  -2.  2.09E+02  5.621E+01  2.154  0.000  0.000  0.000  0.000 -1.000  79.729
   9  -1.  2.13E+02  5.579E+01  2.161  0.000  0.001  0.000  0.000 -1.000  79.671
  10  -2.  2.12E+02  5.534E+01  2.161  0.000  0.000  0.000  0.000 -1.000  79.547
