 -------------------------------------------------------------------------------
 -                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       5.07E+01  4.139E+05
   1  -3.  6.34E+01  2.657E+05  0.999  0.000  0.607  0.000  0.000 -1.000  27.273
   2  -4.  7.51E+01  2.155E+05  0.986  0.000  0.618  0.000  0.000 -1.000  36.000
   3  -5.  9.06E+01  1.685E+05  0.968  0.000  0.630  0.000  0.000 -1.000  45.763
   4  -5.  1.10E+02  1.233E+05  0.941  0.000  0.643  0.000  0.000 -1.000  55.862
   5  -6.  1.33E+02  8.359E+04  0.902  0.000  0.651  0.000  0.000 -1.000  65.499
   6  -6.  1.52E+02  5.094E+04  0.848  0.000  0.645  0.000  0.000 -1.000  74.010
   7  -6.  1.66E+02  2.788E+04  0.782  0.000  0.619  0.000  0.000 -1.000  81.030
   8  -7.  1.79E+02  1.372E+04  0.721  0.000  0.556  0.000  0.000 -1.000  86.500
   9  -7.  1.91E+02  6.452E+03  0.700  0.000  0.400  0.000  0.000 -1.000  90.576
  10  -7.  1.80E+02  3.373E+03  0.746  0.000  0.200  0.000  0.000 -1.000  93.513
  11  -7.  1.95E+02  1.777E+03  0.952  0.000  0.100  0.000  0.000 -1.000  95.580
  12  -8.  3.94E+02  9.357E+02  1.429  0.000  0.050  0.000  0.000 -1.000  97.009
  13  -6.  5.68E+02  7.703E+02  1.201  0.000  0.025  0.000  0.000 -1.000  97.789
  14  -1.  5.77E+02  7.063E+02  0.848  0.000  0.012  0.000  0.000 -1.000  97.607
  15  -2.  6.34E+02  6.812E+02  0.861  0.000  0.006  0.000  0.000 -1.000  96.166
  16  -2.  6.29E+02  6.780E+02  0.823  0.000  0.003  0.000  0.000 -1.000  95.772
  17  -2.  6.26E+02  6.776E+02  0.808  0.000  0.005  0.000  0.000 -1.000  95.644
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       6.25E+02  6.822E+02
  18  -2.  6.25E+02  6.776E+02  0.808  0.000  0.002  0.000  0.000 -1.000  95.571
   1  -1.  6.25E+02  6.426E+02  0.810  0.000  0.004  0.000  0.000 -1.000  95.611
   2  -2.  6.36E+02  5.844E+02  0.829  0.000  0.005  0.000  0.000 -1.000  95.795
   3  -1.  6.78E+02  5.447E+02  0.866  0.000  0.003  0.000  0.000 -1.000  95.487
   4  -1.  6.87E+02  5.403E+02  0.824  0.000  0.001  0.000  0.000 -1.000  95.286
   5   0.  6.87E+02  5.308E+02  0.824  0.000  0.001  0.000  0.000 -1.000  95.312
   6   0.  6.88E+02  5.288E+02  0.817  0.000  0.001  0.000  0.000 -1.000  95.293
   7   0.  6.88E+02  5.278E+02  0.813  0.000  0.001  0.000  0.000 -1.000  95.266
   8   0.  6.89E+02  5.275E+02  0.813  0.000  0.000  0.000  0.000 -1.000  95.262
   9   0.  6.89E+02  5.272E+02  0.811  0.000  0.000  0.000  0.000 -1.000  95.254
  10   0.  6.90E+02  5.270E+02  0.810  0.000  0.000  0.000  0.000 -1.000  95.245
  11   0.  6.90E+02  5.268E+02  0.808  0.000  0.000  0.000  0.000 -1.000  95.236
  12   0.  6.90E+02  5.266E+02  0.806  0.000  0.000  0.000  0.000 -1.000  95.226
  13  -1.  6.92E+02  5.253E+02  0.794  0.000  0.000  0.000  0.000 -1.000  95.123
  14  -1.  6.94E+02  5.244E+02  0.787  0.000  0.000  0.000  0.000 -1.000  95.014
  15  -2.  6.95E+02  5.222E+02  0.774  0.000  0.000  0.000  0.000 -1.000  94.379
  16  -3.  6.94E+02  5.204E+02  0.768  0.000  0.000  0.000  0.000 -1.000  93.606
  17  -4.  6.96E+02  5.199E+02  0.764  0.000  0.000  0.000  0.000 -1.000  93.256
  18  -5.  6.96E+02  5.196E+02  0.760  0.000  0.000  0.000  0.000 -1.000  93.025
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       6.97E+02  5.219E+02
  19  -5.  6.97E+02  5.195E+02  0.757  0.000  0.000  0.000  0.000 -1.000  92.898
   1  -3.  6.98E+02  4.732E+02  0.820  0.000  0.000  0.000  0.000 -1.000  95.151
   2  -4.  7.08E+02  4.451E+02  0.826  0.000  0.000  0.000  0.000 -1.000  95.573
   3  -5.  7.13E+02  4.376E+02  0.801  0.000  0.000  0.000  0.000 -1.000  95.352
   4  -5.  7.15E+02  4.374E+02  0.822  0.000  0.000  0.000  0.000 -1.000  95.351
   5  -1.  7.15E+02  4.374E+02  0.821  0.000  0.000  0.000  0.000 -1.000  95.351
   6   4.  7.15E+02  4.374E+02  0.821  0.000  0.000  0.000  0.000 -1.000  95.351
