 --------------------------------------------------------------------------------                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       7.13E+00  3.085E+03
   1  -3.  2.02E+01  5.099E+02  1.500  0.000  0.300  0.000  0.000 -1.000   0.000
   2  -4.  2.88E+01  2.457E+02  2.250  0.000  0.450  0.000  0.000 -1.000   0.000
   3  -5.  4.29E+01  1.436E+02  1.600  0.000  0.675  0.000  0.000 -1.000   0.000
   4  -5.  5.77E+01  6.255E+01  1.043  0.000  1.012  0.000  0.000 -1.000   0.000
   5  -6.  8.78E+01  4.426E+01  1.068  0.000  1.310  0.000  0.000 -1.000   0.000
   6  -6.  8.91E+01  4.401E+01  1.058  0.000  1.358  0.000  0.000 -1.000   0.000
   7  -6.  8.96E+01  4.401E+01  1.067  0.000  1.361  0.000  0.000 -1.000   0.000
   8  -7.  8.97E+01  4.401E+01  1.066  0.000  1.365  0.000  0.000 -1.000   0.000
   9  -7.  8.97E+01  4.401E+01  1.067  0.000  1.365  0.000  0.000 -1.000   0.000
  10  -7.  8.97E+01  4.401E+01  1.067  0.000  1.365  0.000  0.000 -1.000   0.000
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       8.97E+01  7.658E+01
   1  -3.  8.01E+01  6.678E+01  1.007  0.000  1.608  0.000  0.000 -1.000   0.000
   2  -4.  8.07E+01  6.659E+01  1.019  0.000  1.591  0.000  0.000 -1.000   0.000
   3  -5.  8.05E+01  6.659E+01  1.023  0.000  1.594  0.000  0.000 -1.000   0.000
   4  -5.  8.05E+01  6.659E+01  1.022  0.000  1.595  0.000  0.000 -1.000   0.000
   5  -6.  8.05E+01  6.659E+01  1.022  0.000  1.594  0.000  0.000 -1.000   0.000
   6  -6.  8.05E+01  6.659E+01  1.022  0.000  1.595  0.000  0.000 -1.000   0.000
   7  -6.  8.05E+01  6.659E+01  1.022  0.000  1.595  0.000  0.000 -1.000   0.000
   8  -1.  8.05E+01  6.659E+01  1.022  0.000  1.595  0.000  0.000 -1.000   0.000
   9  -1.  8.05E+01  6.659E+01  1.022  0.000  1.595  0.000  0.000 -1.000   0.000
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       8.05E+01  4.811E+02
   1  -3.  6.71E+01  4.532E+02  0.955  0.000  1.918  0.000  0.000 -1.000   0.000
   2  -4.  6.78E+01  4.511E+02  1.076  0.000  1.822  0.000  0.000 -1.000   0.000
   3  -5.  6.72E+01  4.510E+02  1.053  0.000  1.838  0.000  0.000 -1.000   0.000
   4  -5.  6.73E+01  4.510E+02  1.059  0.000  1.830  0.000  0.000 -1.000   0.000
   5  -6.  6.72E+01  4.510E+02  1.058  0.000  1.831  0.000  0.000 -1.000   0.000
   6  -1.  6.72E+01  4.510E+02  1.058  0.000  1.831  0.000  0.000 -1.000   0.000
   7   2.  6.72E+01  4.510E+02  1.058  0.000  1.831  0.000  0.000 -1.000   0.000
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       6.72E+01  4.520E+02
   1  -1.  6.75E+01  4.513E+02  1.064  0.000  1.834  0.000  0.000 -1.000   0.000
   2  -2.  6.96E+01  4.453E+02  1.143  0.000  1.832  0.000  0.000 -1.000   0.000
   3  -1.  6.97E+01  4.424E+02  1.139  0.000  1.833  0.000  0.000 -1.000   0.000
   4  -2.  6.99E+01  4.444E+02  1.140  0.000  1.837  0.000  0.000 -1.000   0.000
   5  -1.  7.01E+01  4.427E+02  1.147  0.000  1.838  0.000  0.000 -1.000   0.000
   6  -1.  7.02E+01  4.440E+02  1.154  0.000  1.841  0.000  0.000 -1.000   0.000
   7  -1.  7.08E+01  4.411E+02  1.164  0.000  1.831  0.000  0.000 -1.000   0.000
   8  -1.  7.08E+01  4.413E+02  1.171  0.000  1.833  0.000  0.000 -1.000   0.000
   9  -1.  7.10E+01  4.414E+02  1.179  0.000  1.831  0.000  0.000 -1.000   0.000
  10  -1.  7.16E+01  4.394E+02  1.187  0.000  1.820  0.000  0.000 -1.000   0.000
  11  -1.  7.17E+01  4.385E+02  1.195  0.000  1.818  0.000  0.000 -1.000   0.000
  12  -1.  7.19E+01  4.375E+02  1.202  0.000  1.817  0.000  0.000 -1.000   0.000
  13  -1.  7.20E+01  4.356E+02  1.210  0.000  1.814  0.000  0.000 -1.000   0.000
  14  -1.  7.21E+01  4.357E+02  1.216  0.000  1.816  0.000  0.000 -1.000   0.000
  15  -1.  7.34E+01  4.308E+02  1.221  0.000  1.814  0.000  0.000 -1.000   0.000
  16  -1.  7.31E+01  4.330E+02  1.223  0.000  1.807  0.000  0.000 -1.000   0.000
  17  -1.  7.39E+01  4.315E+02  1.229  0.000  1.778  0.000  0.000 -1.000   0.000
  18  -1.  7.38E+01  4.315E+02  1.232  0.000  1.766  0.000  0.000 -1.000   0.000
 --------------------------------------------------------------------------------                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
