 -------------------------------------------------------------------------------
 -                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       7.11E+00  3.198E+03
   1  -3.  1.99E+01  5.176E+02  1.489  0.000  0.300  0.000  0.000 -1.000   0.000
   2  -4.  2.71E+01  2.574E+02  2.233  0.000  0.450  0.000  0.000 -1.000   0.000
   3  -5.  5.11E+01  1.458E+02  1.949  0.000  0.675  0.000  0.000 -1.000   0.000
   4  -5.  4.57E+01  8.016E+01  1.044  0.000  1.012  0.000  0.000 -1.000   0.000
   5  -6.  8.93E+01  4.450E+01  1.241  0.000  1.285  0.000  0.000 -1.000   0.000
   6  -6.  8.88E+01  4.397E+01  1.152  0.000  1.380  0.000  0.000 -1.000   0.000
   7  -6.  8.97E+01  4.394E+01  1.187  0.000  1.361  0.000  0.000 -1.000   0.000
   8  -7.  8.95E+01  4.393E+01  1.174  0.000  1.370  0.000  0.000 -1.000   0.000
   9  -7.  8.96E+01  4.393E+01  1.179  0.000  1.367  0.000  0.000 -1.000   0.000
  10  -7.  8.96E+01  4.393E+01  1.178  0.000  1.368  0.000  0.000 -1.000   0.000
  11  -0.  8.96E+01  4.393E+01  1.178  0.000  1.368  0.000  0.000 -1.000   0.000
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       8.96E+01  7.718E+01
   1  -1.  8.40E+01  6.635E+01  1.154  0.000  1.494  0.000  0.000 -1.000   0.000
   2  -2.  9.05E+01  6.359E+01  1.259  0.000  1.542  0.000  0.000 -1.000   0.000
   3  -1.  9.16E+01  6.234E+01  1.244  0.000  1.532  0.000  0.000 -1.000   0.000
   4  -2.  9.58E+01  6.003E+01  1.299  0.000  1.506  0.000  0.000 -1.000   0.000
   5  -1.  9.62E+01  5.939E+01  1.303  0.000  1.489  0.000  0.000 -1.000   0.000
   6  -1.  9.70E+01  5.901E+01  1.305  0.000  1.485  0.000  0.000 -1.000   0.000
   7  -1.  9.75E+01  5.870E+01  1.309  0.000  1.480  0.000  0.000 -1.000   0.000
   8  -1.  9.78E+01  5.841E+01  1.314  0.000  1.475  0.000  0.000 -1.000   0.000
   9  -1.  9.80E+01  5.816E+01  1.318  0.000  1.470  0.000  0.000 -1.000   0.000
  10  -1.  9.81E+01  5.794E+01  1.322  0.000  1.465  0.000  0.000 -1.000   0.000
  11  -1.  9.83E+01  5.777E+01  1.326  0.000  1.459  0.000  0.000 -1.000   0.000
  12  -1.  9.84E+01  5.762E+01  1.328  0.000  1.455  0.000  0.000 -1.000   0.000
  13  -2.  9.80E+01  5.685E+01  1.334  0.000  1.453  0.000  0.000 -1.000   0.000
  14  -2.  9.82E+01  5.637E+01  1.350  0.000  1.439  0.000  0.000 -1.000   0.000
  15  -3.  9.75E+01  5.576E+01  1.371  0.000  1.433  0.000  0.000 -1.000   0.000
  16  -4.  9.75E+01  5.559E+01  1.396  0.000  1.415  0.000  0.000 -1.000   0.000
  17  -5.  9.75E+01  5.556E+01  1.404  0.000  1.407  0.000  0.000 -1.000   0.000
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       9.76E+01  3.915E+02
  18  -5.  9.76E+01  5.556E+01  1.409  0.000  1.404  0.000  0.000 -1.000   0.000
   1  -1.  9.09E+01  3.813E+02  1.460  0.000  1.409  0.000  0.000 -1.000   0.000
   2  -2.  8.90E+01  3.778E+02  1.488  0.000  1.448  0.000  0.000 -1.000   0.000
