 --------------------------------------------------------------------------------                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       1.33E+01  1.530E+04
   1  -3.  1.55E+01  4.424E+03  0.375  0.000  0.900  0.000  0.000 -1.000   0.000
   2  -4.  1.85E+01  2.977E+03  0.188  0.000  1.350  0.000  0.000 -1.000   0.000
   3  -5.  3.37E+01  1.709E+03  0.281  0.000  2.025  0.000  0.000 -1.000   0.000
   4  -5.  4.05E+01  1.498E+03  0.422  0.000  2.109  0.000  0.000 -1.000   0.000
   5  -6.  5.12E+01  5.909E+02  0.633  0.000  1.659  0.000  0.000 -1.000   0.000
   6  -6.  1.04E+02  2.383E+02  0.949  0.000  1.659  0.000  0.000 -1.000   0.000
   7  -6.  1.10E+02  1.971E+02  1.101  0.000  1.518  0.000  0.000 -1.000   0.000
   8  -7.  1.13E+02  1.964E+02  1.112  0.000  1.512  0.000  0.000 -1.000   0.000
   9  -7.  1.12E+02  1.964E+02  1.113  0.000  1.511  0.000  0.000 -1.000   0.000
  10  -7.  1.12E+02  1.964E+02  1.113  0.000  1.511  0.000  0.000 -1.000   0.000
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       1.12E+02  2.125E+02
   1  -1.  1.14E+02  2.060E+02  1.116  0.000  1.512  0.000  0.000 -1.000   0.000
   2  -2.  1.24E+02  1.762E+02  1.093  0.000  1.476  0.000  0.000 -1.000   0.000
   3  -1.  1.28E+02  1.671E+02  1.088  0.000  1.431  0.000  0.000 -1.000   0.000
   4  -2.  1.33E+02  1.518E+02  1.062  0.000  1.301  0.000  0.000 -1.000   0.000
   5  -1.  1.38E+02  1.460E+02  1.067  0.000  1.259  0.000  0.000 -1.000   0.000
   6  -1.  1.38E+02  1.455E+02  1.074  0.000  1.237  0.000  0.000 -1.000   0.000
   7  -1.  1.38E+02  1.453E+02  1.079  0.000  1.223  0.000  0.000 -1.000   0.000
   8  -1.  1.38E+02  1.451E+02  1.083  0.000  1.213  0.000  0.000 -1.000   0.000
   9  -1.  1.38E+02  1.450E+02  1.086  0.000  1.205  0.000  0.000 -1.000   0.000
  10  -1.  1.38E+02  1.449E+02  1.089  0.000  1.198  0.000  0.000 -1.000   0.000
  11  -1.  1.38E+02  1.448E+02  1.091  0.000  1.193  0.000  0.000 -1.000   0.000
  12  -1.  1.38E+02  1.447E+02  1.094  0.000  1.189  0.000  0.000 -1.000   0.000
  13  -1.  1.38E+02  1.447E+02  1.096  0.000  1.185  0.000  0.000 -1.000   0.000
  14  -1.  1.38E+02  1.444E+02  1.098  0.000  1.184  0.000  0.000 -1.000   0.000
  15  -1.  1.38E+02  1.444E+02  1.099  0.000  1.181  0.000  0.000 -1.000   0.000
  16  -1.  1.38E+02  1.443E+02  1.101  0.000  1.178  0.000  0.000 -1.000   0.000
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       1.38E+02  1.460E+02
  17  -1.  1.38E+02  1.443E+02  1.103  0.000  1.175  0.000  0.000 -1.000   0.000
   1  -1.  1.41E+02  1.357E+02  1.107  0.000  1.174  0.000  0.000 -1.000   0.000
   2  -2.  1.44E+02  1.296E+02  1.108  0.000  1.137  0.000  0.000 -1.000   0.000
   3  -1.  1.44E+02  1.247E+02  1.111  0.000  1.111  0.000  0.000 -1.000   0.000
   4  -2.  1.44E+02  1.287E+02  1.119  0.000  1.101  0.000  0.000 -1.000   0.000
   5  -3.  1.45E+02  1.252E+02  1.141  0.000  1.056  0.000  0.000 -1.000   0.000
   6  -4.  1.44E+02  1.257E+02  1.150  0.000  1.037  0.000  0.000 -1.000   0.000
   7  -5.  1.49E+02  1.260E+02  1.161  0.000  1.007  0.000  0.000 -1.000   0.000
   8  -1.  1.51E+02  1.190E+02  1.136  0.000  1.035  0.000  0.000 -1.000   0.000
   9  -2.  1.51E+02  1.269E+02  1.135  0.000  1.037  0.000  0.000 -1.000   0.000
  10  -0.  1.52E+02  1.265E+02  1.132  0.000  1.034  0.000  0.000 -1.000   0.000
  11  -1.  1.52E+02  1.179E+02  1.123  0.000  1.034  0.000  0.000 -1.000   0.000
  12  -1.  1.53E+02  1.177E+02  1.125  0.000  1.033  0.000  0.000 -1.000   0.000
  13  -1.  1.53E+02  1.177E+02  1.124  0.000  1.034  0.000  0.000 -1.000   0.000
  14  -1.  1.53E+02  1.177E+02  1.124  0.000  1.034  0.000  0.000 -1.000   0.000
  15  -1.  1.53E+02  1.177E+02  1.124  0.000  1.034  0.000  0.000 -1.000   0.000
 --------------------------------------------------------------------------------                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       1.48E+01  9.032E+03
   1  -3.  2.07E+01  2.965E+03  0.531  0.000  0.900  0.000  0.000 -1.000  30.000
   2  -4.  2.56E+01  2.163E+03  0.586  0.000  1.350  0.000  0.000 -1.000  30.000
   3  -5.  5.26E+01  9.556E+02  0.880  0.000  2.025  0.000  0.000 -1.000  30.000
   4  -5.  8.88E+01  3.117E+02  1.050  0.000  1.391  0.000  0.000 -1.000  30.000
   5  -6.  1.08E+02  1.862E+02  1.266  0.000  1.086  0.000  0.000 -1.000  30.000
   6  -6.  1.08E+02  1.762E+02  1.259  0.000  0.927  0.000  0.000 -1.000  30.000
   7  -6.  1.09E+02  1.760E+02  1.249  0.000  0.940  0.000  0.000 -1.000  30.000
   8  -7.  1.09E+02  1.760E+02  1.248  0.000  0.938  0.000  0.000 -1.000  30.000
   9  -7.  1.09E+02  1.760E+02  1.248  0.000  0.938  0.000  0.000 -1.000  30.000
  10  -7.  1.09E+02  1.760E+02  1.248  0.000  0.938  0.000  0.000 -1.000  30.000
  11  -7.  1.09E+02  1.760E+02  1.248  0.000  0.938  0.000  0.000 -1.000  30.000
  12  -2.  1.09E+02  1.760E+02  1.248  0.000  0.938  0.000  0.000 -1.000  30.000
  13   0.  1.09E+02  1.760E+02  1.248  0.000  0.938  0.000  0.000 -1.000  30.000
  14   1.  1.09E+02  1.760E+02  1.248  0.000  0.938  0.000  0.000 -1.000  30.000
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       1.09E+02  1.905E+02
   1  -1.  1.13E+02  1.798E+02  1.240  0.000  0.894  0.000  0.000 -1.000  30.000
   2  -2.  1.34E+02  1.505E+02  1.287  0.000  0.508  0.000  0.000 -1.000  30.000
   3  -1.  1.37E+02  1.433E+02  1.255  0.000  0.406  0.000  0.000 -1.000  30.000
   4  -1.  1.38E+02  1.416E+02  1.259  0.000  0.293  0.000  0.000 -1.000  30.000
   5  -1.  1.39E+02  1.405E+02  1.265  0.000  0.158  0.000  0.000 -1.000  30.000
   6   0.  1.39E+02  1.403E+02  1.265  0.000  0.118  0.000  0.000 -1.000  30.000
