 -------------------------------------------------------------------------------
 -                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       9.42E+00  1.940E+04
   1  -3.  2.40E+01  3.890E+03  0.750  0.000  0.600  0.000  0.000 -1.000   0.000
   2  -4.  2.44E+01  3.041E+03  0.750  0.000  0.600  0.000  0.000 -1.000   0.000
   3  -5.  3.03E+01  2.259E+03  0.750  0.000  0.600  0.000  0.000 -1.000   0.000
   4  -5.  3.13E+01  2.162E+03  0.750  0.000  0.600  0.000  0.000 -1.000   0.000
   5  -6.  3.19E+01  2.132E+03  0.750  0.000  0.600  0.000  0.000 -1.000   0.000
   6  -6.  3.19E+01  2.128E+03  0.750  0.000  0.600  0.000  0.000 -1.000   0.000
   7  -6.  3.20E+01  2.126E+03  0.750  0.000  0.600  0.000  0.000 -1.000   0.000
   8  -7.  3.20E+01  2.125E+03  0.750  0.000  0.600  0.000  0.000 -1.000   0.000
   9  -7.  3.20E+01  2.125E+03  0.750  0.000  0.600  0.000  0.000 -1.000   0.000
  10  -7.  3.20E+01  2.124E+03  0.750  0.000  0.600  0.000  0.000 -1.000   0.000
  11  -7.  3.20E+01  2.124E+03  0.750  0.000  0.600  0.000  0.000 -1.000   0.000
  12  -8.  3.20E+01  2.124E+03  0.750  0.000  0.600  0.000  0.000 -1.000   0.000
  13  -8.  3.20E+01  2.124E+03  0.750  0.000  0.600  0.000  0.000 -1.000   0.000
  14  -8.  3.20E+01  2.124E+03  0.750  0.000  0.600  0.000  0.000 -1.000   0.000
  15  -9.  3.20E+01  2.124E+03  0.750  0.000  0.600  0.000  0.000 -1.000   0.000
 -------------------------------------------------------------------------------
 -                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       1.00E+01  1.425E+05
   1  -3.  1.37E+01  8.727E+04  0.866  0.000  0.600  0.000  0.000 -1.000  14.286
   2  -4.  2.20E+01  4.062E+04  0.999  0.000  0.600  0.000  0.000 -1.000  20.000
   3  -5.  2.76E+01  2.371E+04  1.499  0.000  0.600  0.000  0.000 -1.000  27.273
