 -------------------------------------------------------------------------------
 -                                        
 -------------------------------------------------------------------------------
 -                                        
 -------------------------------------------------------------------------------
 -                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       1.64E+01  6.794E+04
   1  -1.  2.37E+01  2.952E+04  1.125  0.000  0.600  0.000  0.000 -1.000  14.286
   2  -2.  3.60E+01  1.310E+04  1.688  0.000  0.600  0.000  0.000 -1.000  12.861
   3  -3.  4.57E+01  1.048E+04  2.531  0.000  0.600  0.000  0.000 -1.000  18.126
   4  -4.  6.41E+01  5.088E+03  3.797  0.000  0.600  0.000  0.000 -1.000  19.941
   5  -5.  5.43E+01  4.969E+03  5.695  0.000  0.600  0.000  0.000 -1.000  27.200
   6  -5.  7.39E+01  1.861E+03  3.367  0.000  0.600  0.000  0.000 -1.000  35.916
   7  -4.  7.99E+01  1.790E+03  4.214  0.000  0.600  0.000  0.000 -1.000  45.672
   8  -5.  9.12E+01  1.107E+03  3.746  0.000  0.600  0.000  0.000 -1.000  48.780
   9  -5.  9.07E+01  1.103E+03  3.761  0.000  0.600  0.000  0.000 -1.000  48.720
  10  -5.  8.96E+01  1.101E+03  3.752  0.000  0.600  0.000  0.000 -1.000  48.919
  11  -6.  8.89E+01  1.099E+03  3.735  0.000  0.600  0.000  0.000 -1.000  49.114
  12  -6.  8.84E+01  1.099E+03  3.723  0.000  0.600  0.000  0.000 -1.000  49.202
  13   1.  8.85E+01  1.099E+03  3.723  0.000  0.600  0.000  0.000 -1.000  49.200
  14   1.  8.85E+01  1.099E+03  3.722  0.000  0.600  0.000  0.000 -1.000  49.198
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       8.86E+01  1.161E+03
  15   1.  8.86E+01  1.099E+03  3.722  0.000  0.600  0.000  0.000 -1.000  49.197
   1  -1.  8.86E+01  1.160E+03  3.719  0.000  0.600  0.000  0.000 -1.000  49.171
   2  -2.  8.88E+01  1.157E+03  3.711  0.000  0.600  0.000  0.000 -1.000  49.197
   3  -1.  8.88E+01  1.156E+03  3.702  0.000  0.600  0.000  0.000 -1.000  49.294
   4  -1.  8.93E+01  1.152E+03  3.694  0.000  0.600  0.000  0.000 -1.000  49.372
   5  -1.  8.96E+01  1.148E+03  3.685  0.000  0.600  0.000  0.000 -1.000  49.472
   6  -1.  8.97E+01  1.145E+03  3.669  0.000  0.600  0.000  0.000 -1.000  49.567
   7  -1.  9.01E+01  1.141E+03  3.652  0.000  0.600  0.000  0.000 -1.000  49.673
   8  -1.  9.05E+01  1.139E+03  3.633  0.000  0.600  0.000  0.000 -1.000  49.780
   9  -1.  9.07E+01  1.137E+03  3.619  0.000  0.600  0.000  0.000 -1.000  49.871
  10   0.  9.07E+01  1.135E+03  3.614  0.000  0.600  0.000  0.000 -1.000  49.888
  11   0.  9.07E+01  1.135E+03  3.611  0.000  0.600  0.000  0.000 -1.000  49.900
  12   0.  9.06E+01  1.135E+03  3.609  0.000  0.600  0.000  0.000 -1.000  49.908
  13   0.  9.06E+01  1.134E+03  3.607  0.000  0.600  0.000  0.000 -1.000  49.916
  14   0.  9.06E+01  1.134E+03  3.606  0.000  0.600  0.000  0.000 -1.000  49.922
  15   0.  9.06E+01  1.134E+03  3.605  0.000  0.600  0.000  0.000 -1.000  49.928
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       9.06E+01  1.103E+03
  16   0.  9.06E+01  1.134E+03  3.603  0.000  0.600  0.000  0.000 -1.000  49.934
   1  -3.  9.03E+01  1.102E+03  3.594  0.000  0.600  0.000  0.000 -1.000  50.161
   2  -1.  9.06E+01  1.099E+03  3.596  0.000  0.600  0.000  0.000 -1.000  50.197
   3  -1.  9.05E+01  1.076E+03  3.596  0.000  0.600  0.000  0.000 -1.000  50.333
   4  -1.  9.05E+01  1.075E+03  3.595  0.000  0.600  0.000  0.000 -1.000  50.388
   5  -1.  9.05E+01  1.095E+03  3.592  0.000  0.600  0.000  0.000 -1.000  50.442
   6   0.  9.05E+01  1.075E+03  3.589  0.000  0.600  0.000  0.000 -1.000  50.373
   7   0.  9.05E+01  1.074E+03  3.592  0.000  0.600  0.000  0.000 -1.000  50.410
   8  -1.  9.06E+01  1.073E+03  3.592  0.000  0.600  0.000  0.000 -1.000  50.472
   9  -1.  9.05E+01  1.101E+03  3.589  0.000  0.600  0.000  0.000 -1.000  50.551
  10  -1.  9.05E+01  1.086E+03  3.583  0.000  0.600  0.000  0.000 -1.000  50.520
  11  -1.  9.05E+01  1.079E+03  3.568  0.000  0.600  0.000  0.000 -1.000  50.647
  12  -1.  8.99E+01  1.058E+03  3.550  0.000  0.600  0.000  0.000 -1.000  51.207
  13  -1.  9.03E+01  1.039E+03  3.535  0.000  0.600  0.000  0.000 -1.000  51.122
  14  -1.  9.03E+01  1.048E+03  3.529  0.000  0.600  0.000  0.000 -1.000  51.340
  15  -2.  9.04E+01  1.038E+03  3.522  0.000  0.600  0.000  0.000 -1.000  51.447
