 --------------------------------------------------------------------------------                                        
 --------------------------------------------------------------------------------                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       4.24E+01  4.488E+03
   1  -3.  5.57E+01  1.813E+03  1.125  0.000  0.900  0.000  0.000 -1.000   0.000
   2  -4.  1.24E+02  1.017E+03  1.688  0.000  1.350  0.000  0.000 -1.000   0.000
   3  -5.  1.18E+02  6.545E+02  0.844  0.000  1.256  0.000  0.000 -1.000   0.000
   4  -5.  2.41E+02  2.797E+02  0.443  0.000  0.843  0.000  0.000 -1.000   0.000
   5  -6.  2.53E+02  2.034E+02  0.665  0.000  0.835  0.000  0.000 -1.000   0.000
   6  -6.  2.52E+02  2.023E+02  0.543  0.000  0.852  0.000  0.000 -1.000   0.000
   7  -6.  2.51E+02  2.022E+02  0.605  0.000  0.833  0.000  0.000 -1.000   0.000
   8  -7.  2.52E+02  2.021E+02  0.574  0.000  0.838  0.000  0.000 -1.000   0.000
   9  -7.  2.52E+02  2.021E+02  0.589  0.000  0.834  0.000  0.000 -1.000   0.000
  10  -0.  2.52E+02  2.021E+02  0.586  0.000  0.834  0.000  0.000 -1.000   0.000
  11   3.  2.52E+02  2.021E+02  0.586  0.000  0.834  0.000  0.000 -1.000   0.000
  12   4.  2.52E+02  2.021E+02  0.586  0.000  0.834  0.000  0.000 -1.000   0.000
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       2.52E+02  2.053E+02
   1  -1.  2.78E+02  1.669E+02  0.605  0.000  1.034  0.000  0.000 -1.000   0.000
   2  -2.  2.72E+02  1.526E+02  0.403  0.000  1.180  0.000  0.000 -1.000   0.000
   3  -3.  3.34E+02  1.364E+02  0.426  0.000  1.365  0.000  0.000 -1.000   0.000
   4  -2.  3.52E+02  1.352E+02  0.316  0.000  1.412  0.000  0.000 -1.000   0.000
   5  -3.  3.58E+02  1.338E+02  0.474  0.000  1.505  0.000  0.000 -1.000   0.000
   6  -1.  3.58E+02  1.335E+02  0.506  0.000  1.517  0.000  0.000 -1.000   0.000
   7  -2.  3.63E+02  1.326E+02  0.620  0.000  1.512  0.000  0.000 -1.000   0.000
   8  -1.  3.61E+02  1.325E+02  0.588  0.000  1.524  0.000  0.000 -1.000   0.000
   9   0.  3.61E+02  1.324E+02  0.590  0.000  1.524  0.000  0.000 -1.000   0.000
  10   0.  3.62E+02  1.324E+02  0.593  0.000  1.525  0.000  0.000 -1.000   0.000
  11   0.  3.62E+02  1.324E+02  0.595  0.000  1.525  0.000  0.000 -1.000   0.000
  12   0.  3.62E+02  1.324E+02  0.597  0.000  1.526  0.000  0.000 -1.000   0.000
  13   0.  3.62E+02  1.324E+02  0.599  0.000  1.526  0.000  0.000 -1.000   0.000
  14   0.  3.62E+02  1.324E+02  0.600  0.000  1.527  0.000  0.000 -1.000   0.000
  15   0.  3.62E+02  1.324E+02  0.600  0.000  1.527  0.000  0.000 -1.000   0.000
