 --------------------------------------------------------------------------------                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       3.74E+01  1.192E+04
   1  -3.  5.34E+01  1.375E+03  1.125  0.000  0.900  0.000  0.000 -1.000   0.000
   2  -4.  1.86E+02  2.760E+02  1.688  0.000  1.335  0.000  0.000 -1.000   0.000
   3  -5.  2.90E+02  1.534E+02  0.844  0.000  1.009  0.000  0.000 -1.000   0.000
   4  -5.  2.77E+02  1.367E+02  1.084  0.000  1.151  0.000  0.000 -1.000   0.000
   5  -6.  2.75E+02  1.366E+02  1.049  0.000  1.165  0.000  0.000 -1.000   0.000
   6  -6.  2.75E+02  1.366E+02  1.067  0.000  1.163  0.000  0.000 -1.000   0.000
   7  -0.  2.75E+02  1.366E+02  1.064  0.000  1.164  0.000  0.000 -1.000   0.000
   8  -0.  2.75E+02  1.366E+02  1.063  0.000  1.165  0.000  0.000 -1.000   0.000
   9   3.  2.75E+02  1.365E+02  1.063  0.000  1.165  0.000  0.000 -1.000   0.000
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       2.75E+02  1.387E+02
   1  -3.  3.60E+02  1.111E+02  0.819  0.000  1.162  0.000  0.000 -1.000   0.000
   2  -4.  3.74E+02  8.276E+01  1.223  0.000  1.232  0.000  0.000 -1.000   0.000
   3  -5.  3.74E+02  7.783E+01  1.085  0.000  1.051  0.000  0.000 -1.000   0.000
   4  -5.  3.77E+02  7.732E+01  1.165  0.000  0.990  0.000  0.000 -1.000   0.000
   5  -6.  3.74E+02  7.724E+01  1.134  0.000  0.955  0.000  0.000 -1.000   0.000
   6  -6.  3.75E+02  7.724E+01  1.149  0.000  0.954  0.000  0.000 -1.000   0.000
   7  -6.  3.73E+02  7.723E+01  1.142  0.000  0.941  0.000  0.000 -1.000   0.000
   8  -2.  3.74E+02  7.722E+01  1.144  0.000  0.942  0.000  0.000 -1.000   0.000
   9  -2.  3.74E+02  7.722E+01  1.144  0.000  0.943  0.000  0.000 -1.000   0.000
