 --------------------------------------------------------------------------------                                        
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       2.48E+00  3.673E+06
   1  -3.  2.63E+01  2.947E+04  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   2  -4.  9.77E+01  2.707E+02  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   3  -5.  9.80E+01  2.672E+02  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   4  -5.  9.80E+01  2.672E+02  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   5  -2.  9.90E+01  2.622E+02  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   6  -3.  1.07E+02  2.310E+02  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   7  -2.  1.07E+02  2.282E+02  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   8  -3.  1.13E+02  2.104E+02  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   9  -2.  1.13E+02  2.088E+02  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
  10  -3.  1.17E+02  1.989E+02  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
  11  -4.  1.17E+02  1.989E+02  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
  12  -3.  1.19E+02  1.932E+02  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
  13  -2.  1.19E+02  1.927E+02  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
  14  -3.  1.21E+02  1.896E+02  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
  15  -2.  1.21E+02  1.893E+02  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
  16  -3.  1.22E+02  1.876E+02  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
  it  DE     s/n      chi**2    Mac1   Mac2   mic1   mic2   fill2 Ic1/Ic2 stray 
   0       1.22E+02  1.893E+02
  17  -4.  1.22E+02  1.876E+02  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   1  -3.  3.07E+02  3.829E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   2  -4.  3.23E+02  2.967E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   3  -5.  3.20E+02  2.964E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   4  -5.  3.20E+02  2.964E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   5  -6.  3.20E+02  2.964E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   6  -2.  3.27E+02  2.885E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   7  -3.  3.59E+02  2.571E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   8  -4.  3.59E+02  2.571E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
   9  -3.  3.73E+02  2.485E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
  10  -2.  3.74E+02  2.480E+01  0.500  0.000  0.000  0.000  0.000 -1.000   0.000
